"","YEAR","COMMON_NAME","mean_weighted_lat"
"353",2014,"sturgeon poacher",57.9461636044435
"354",2015,"sturgeon poacher",58.05977901948
"355",2016,"sturgeon poacher",58.1352259114622
"356",2017,"sturgeon poacher",58.338417958626
"357",2018,"sturgeon poacher",58.1921135131269
"358",2019,"sturgeon poacher",58.0955932477194
"359",2021,"sturgeon poacher",57.8717724570064
"360",2022,"sturgeon poacher",57.8167397730312
"361",1988,"tanner crab",57.3377221748424
"362",1989,"tanner crab",57.2342111597751
"363",1990,"tanner crab",57.22648354112
"364",1991,"tanner crab",57.1735020014827
"365",1992,"tanner crab",57.1545509899621
"366",1993,"tanner crab",57.1370659681456
"367",1994,"tanner crab",57.0816666012999
"368",1995,"tanner crab",57.0236824831691
"369",1996,"tanner crab",56.9899977902936
"370",1997,"tanner crab",57.0208573730827
"371",1998,"tanner crab",56.937068586499
"372",1999,"tanner crab",56.8711379329282
"373",2000,"tanner crab",56.9898231468194
"374",2001,"tanner crab",56.9327616992467
"375",2002,"tanner crab",56.9437491502699
"376",2003,"tanner crab",56.9030542533008
"377",2004,"tanner crab",57.3256742273718
"378",2005,"tanner crab",57.3332425113198
"379",2006,"tanner crab",57.3426303170989
"380",2007,"tanner crab",57.4368769713815
"381",2008,"tanner crab",57.3113759174054
"382",2009,"tanner crab",57.2649260326307
"383",2010,"tanner crab",57.2547918595888
"384",2011,"tanner crab",57.1724983319397
"385",2012,"tanner crab",57.1592672893572
"386",2013,"tanner crab",57.0489708154627
"387",2014,"tanner crab",57.0877464901103
"388",2015,"tanner crab",57.0834540201018
"389",2016,"tanner crab",57.1682560754099
"390",2017,"tanner crab",57.0616234521166
"391",2018,"tanner crab",57.1626398997476
"392",2019,"tanner crab",57.2165872379353
"393",2021,"tanner crab",57.2987404680049
"394",2022,"tanner crab",57.2074746165977
"395",1988,"snow crab",59.0031803802438
"396",1989,"snow crab",58.8177660428211
"397",1990,"snow crab",58.7462761929427
"398",1991,"snow crab",58.6456274196393
"399",1992,"snow crab",58.7974297184979
"400",1993,"snow crab",59.0523592019164
"401",1994,"snow crab",59.0229249993219
"402",1995,"snow crab",58.9656737082884
"403",1996,"snow crab",58.818070544115
"404",1997,"snow crab",58.6220420082546
"405",1998,"snow crab",58.6653393805441
"406",1999,"snow crab",58.6559496633468
"407",2000,"snow crab",58.8959944327217
"408",2001,"snow crab",59.0306203661023
"409",2002,"snow crab",59.0046865866616
"410",2003,"snow crab",59.1413613981423
"411",2004,"snow crab",59.2007054102918
"412",2005,"snow crab",59.0290276170878
"413",2006,"snow crab",58.9238165382455
"414",2007,"snow crab",58.8721695297098
"415",2008,"snow crab",58.8161602171186
"416",2009,"snow crab",58.8328858670544
"417",2010,"snow crab",59.0522584477697
"418",2011,"snow crab",58.9394609418911
"419",2012,"snow crab",58.8379171626115
"420",2013,"snow crab",58.7936178732228
"421",2014,"snow crab",58.6560235886707
"422",2015,"snow crab",58.8413308184154
"423",2016,"snow crab",59.0110467853457
"424",2017,"snow crab",59.3493488446701
"425",2018,"snow crab",59.3593280277912
"426",2019,"snow crab",59.2222446500841
"427",2021,"snow crab",58.9947362802327
"428",2022,"snow crab",59.3428880247637
